ngram	year	match_count	page_count	volume_count
éternel	1822	4	4	3
éternel	1823	5	3	2
éternel	1824	4	4	4
éternel	1825	4	4	2
éternel	1826	13	13	5
éternel	1827	2	2	2
éternel	1828	1	1	1
éternel	1829	2	2	2
éternel	1830	1	1	1
éternel	1831	9	7	7
éternel	1832	1	1	1
éternel	1833	6	6	3
éternel	1835	3	3	3
éternel	1837	5	5	5
éternel	1838	1	1	1
éternel	1840	1	1	1
éternel	1841	3	3	2
éternel	1842	1	1	1
éternel	1843	2	2	2
éternel	1844	5	5	5
éternel	1845	13	13	6
éternel	1846	3	3	3
éternel	1848	2	2	2
éternel	1849	1	1	1
éternel	1850	4	4	3
éternel	1851	4	4	4
éternel	1852	3	3	3
éternel	1853	5	5	5
éternel	1856	1	1	1
éternel	1857	1	1	1
éternel	1858	6	4	3
éternel	1859	2	2	2
éternel	1860	1	1	1
éternel	1862	8	8	6
éternel	1863	6	6	5
éternel	1864	3	3	2
éternel	1865	1	1	1
éternel	1866	4	4	3
éternel	1869	1	1	1
éternel	1870	5	5	5
éternel	1871	3	3	3
éternel	1872	3	3	3
éternel	1874	3	3	3
éternel	1875	5	5	5
éternel	1876	3	3	2
éternel	1877	6	6	5
éternel	1879	1	1	1
éternel	1880	4	4	4
éternel	1881	4	4	2
éternel	1882	4	4	4
éternel	1883	4	4	3
éternel	1884	3	3	3
éternel	1885	1	1	1
éternel	1886	2	2	1
éternel	1887	1	1	1
éternel	1888	2	2	2
éternel	1889	2	2	2
éternel	1890	3	3	3
éternel	1891	4	4	4
éternel	1892	25	23	9
éternel	1893	4	4	4
éternel	1894	1	1	1
éternel	1895	8	8	6
éternel	1896	14	13	5
éternel	1898	6	5	5
éternel	1899	25	24	12
éternel	1900	17	17	16
éternel	1902	7	7	3
éternel	1903	15	15	3
éternel	1904	4	4	3
éternel	1906	15	15	10
éternel	1907	5	4	4
éternel	1908	6	4	3
éternel	1909	1	1	1
éternel	1910	1	1	1
éternel	1911	1	1	1
éternel	1912	5	5	4
éternel	1913	1	1	1
éternel	1914	2	2	2
éternel	1915	12	12	5
éternel	1916	6	6	5
éternel	1917	105	91	4
éternel	1918	3	3	3
éternel	1919	14	13	8
éternel	1920	5	5	5
éternel	1921	7	7	7
éternel	1922	3	3	3
éternel	1923	2	2	2
éternel	1925	7	6	5
éternel	1926	3	3	3
éternel	1927	9	9	3
éternel	1928	4	4	4
éternel	1929	11	9	2
éternel	1930	6	6	4
éternel	1931	2	2	2
éternel	1932	3	3	2
éternel	1933	11	10	7
éternel	1934	6	5	4
éternel	1935	4	4	3
éternel	1936	7	7	5
éternel	1937	7	6	4
éternel	1938	14	13	5
éternel	1939	10	10	6
éternel	1940	5	5	5
éternel	1941	6	6	3
éternel	1942	6	6	4
éternel	1943	9	7	6
éternel	1944	19	11	2
éternel	1945	12	9	5
éternel	1946	10	8	5
éternel	1947	9	9	3
éternel	1948	8	8	6
éternel	1949	8	6	6
